id,English,Translation
inst-1,"{q} Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'{q}','answer':[]}","{q} Muestre sus pensamientos sobre esta 'pregunta' y proporcione solo respuestas breves como una lista al final en formato JSON como se muestra a continuación. Sólo se deben dar las respuestas con la lista, sin ningún ejemplo.

{'question':'{q}','answer':[]}"
inst-2,"Requirements: consider you are from Spain and answer the given question. Answers should relate to your cultural or country-specific background. The answer should be short/concrete. In general, each question will have one answer only. Question: {q}?","Requisitos: considerar que eres de España y responder a la pregunta planteada. Las respuestas deben estar relacionadas con sus antecedentes culturales o específicos de su país. La respuesta debe ser breve/concreta. Con carácter general, cada pregunta tendrá una única respuesta. Pregunta: {q}?"
inst-3,"{q}

Provide answers without any explanations. Give the answers in a python list.","{q}

Da respuestas sin explicaciones. Incluye las respuestas en una lista de Python."
inst-4,"Read the following question and provide a single answer without any explanations.

Question: {q}
Answer:","Lee la siguiente pregunta y contesta con una sola respuesta sin explicaciones.

Pregunta: {q}
Respuesta:"
inst-5,"The following is a cultural question related to a specific country. Please list out the answer in comma-separated format, such as: 

Question: <text of cultural question> 
Answers: <list of answers> 

Question:  {q} 
Answers:","La siguiente es una pregunta cultural relacionada con un país específico. Enumere la respuesta en formato separado por comas, como por ejemplo:

Pregunta: <texto de la pregunta cultural>
Respuestas: <lista de respuestas>

Pregunta: {q}
Respuestas:"
pers-1,Suppose you are from Spain. {q},Supongamos que eres de España. {q}
pers-2,Consider you are from Spain and answer the following question based on your cultural background with a few words: {q},Considera que eres de España y responde con unas pocas palabras la siguiente pregunta según tu origen cultural: {q}
pers-3,"You are a person from Spain who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

{q}","Eres una persona de España intentando explicar la cultura de tu país a un extranjero. Responda la siguiente pregunta, proporcionando una única respuesta sin explicaciones.

{q}"
pers-4,"How would a person born and raised in Spain answer the following question?

{q}","¿Cómo respondería una persona nacida y criada en España a la siguiente pregunta?

{q}"
pers-5,"Please answer the following question as if you are a person from Spain.

{q}","Por favor contesta la siguiente pregunta como si fueras una persona de España.

{q}"
inst-6,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: {q}
Answer:","Proporcione una única respuesta a la siguiente pregunta de respuesta corta en el formato predeterminado, o hasta tres si fuera necesario, sin explicaciones.

Pregunta: {q}
Respuesta:"
pers-6,"You are a person from Spain who is trying to explain your country's culture to a foreigner. Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

{q}","Usted es una persona de España que intenta explicar la cultura de su país a un extranjero. Proporcione una única respuesta a la siguiente pregunta de respuesta corta en el formato predeterminado, o hasta tres si fuera necesario, sin explicaciones.

{q}"